No,URL,Method/Class,用途,優先度,確認観点,差異・備考,checkedAt
40,/orca31/hsacctmodv2,POST,室料差額登録,P1,Request_Number=3で室料差額と税再掲が月次カレンダーへ反映,"RUN_ID 未登録。Request_Number=3 + `<private_objects>` (raw/hospsagaku.md)。入院会計作成(38) と未作成チェック(39) が復旧してから seed を投入して実行する。",
41,/api01rv2/pusheventgetv2,POST,PUSH 通知,P0,通知センターに表示,"RUN_ID 未登録。manifest:puseventget / raw/pusheventget.md。push-exchanger + event seed が無いため保留。notes/orca-api-field-validation.md §3.2。",
42,/orca42/receiptprintv3,POST,帳票印刷ジョブ,P2,PDF が正常生成,"RUN_ID 未登録。XML リクエスト→JSON `Data_Id` + print002 PUSH→`/blobapi/<Data_Id>` 取得。push-exchanger 準備後に §3.6 手順で収集。",
43,/orca51/masterlastupdatev3,POST,マスタ最終更新日,P2,キャッシュ更新条件に利用,"RUN_ID 未登録。`system01dailyv2` 直後に 1 回実行し、`weborca-prod/masterlastupdatev3.*` へ保存して TTL を把握する。",
44,/api01rv2/system01dailyv2,POST,基本情報取得（daily）,P2,日次基本情報がダッシュボードに反映,"UTF-8 XML で Api_Result=00 / Shift_JIS は `Api_Result=91`。RUN_ID=20251113T002806Z（logs/2025-11-13-orca-connectivity.md, notes/orca-api-field-validation.md）。",
45,/api01rv2/patientlst7v2,POST,患者メモ取得,P0,カルテメモと一致,"RUN_ID 未登録。`patientmemomodv2` (No.53) が 405 のため取得データが存在しない。Memo_Class/Memo_Mode の制約は raw/patient_memo_list.md 参照。",
46,/api21/medicalmodv23,POST,初診算定日登録,P0,レセプト初診算定日へ反映,"HTTP405(Allow:GET)/RUN_ID=20251113T002806Z。XML `<medicalv2req3>` へ修正済みだが route 開放待ち。",
47,/orca36/hsfindv3,POST,入院患者照会,P1,入院患者一覧と一致,"RUN_ID 未登録。入院患者 seed が無いため Admission_Date/病棟フィルタを検証できていない。No.38/39 復旧後に実施。",
48,/api01rv2/contraindicationcheckv2,POST,薬剤併用禁忌チェック,P0,重大判定時に UI が遮断,"RUN_ID 未登録。`Perform_Month` + `Medication_Information[]` を送信する XML テンプレのみ整備。薬剤履歴 seed と UI 要件確定を待つ。",
49,/api01rv2/insuranceinf1v2,POST,保険・公費一覧,P0,保険タブと一致,"RUN_ID 未登録。`Base_Date` 指定で保険/公費マスタを返す。Web クライアント起動時の初期キャッシュとして §4.4 手順に組み込む。",
50,/api01rv2/subjectiveslstv2,POST,症状詳記取得,P0,カルテ表示と一致,"RUN_ID 未登録。Request_Number=01-03 で症状詳記リスト〜コメントを返す。カルテ UI 要件確定後に実行。",
51,/api01rv2/patientlst8v2,POST,旧姓履歴取得,P1,患者属性表示へ反映,"RUN_ID 未登録。旧姓 seed 未投入。`<patientlst8req>` (raw/kyuseirireki.md) で Request_Number=01/Patient_ID を送信。",
52,/api01rv2/medicationgetv2,POST,診療コード内容取得,P0,コード検索候補と一致,"RUN_ID 未登録（2024-11 掲載 API）。Request_Number=01/02 で入力コード→診療コード/選択式コメントを取得。コード検索タスクと連動して実行する。",
53,/orca06/patientmemomodv2,POST,患者メモ CRUD,P0,双方向同期を確認,"HTTP405(Allow:GET)/RUN_ID=20251113T002806Z。XML `<patientmemomodv2req>` でも拒否。ORCA route 復旧待ち。",
