 kanricd |  kbncd   | styukymd | edyukymd |                                                                                                                                                                                                                                                    kanritbl                                                                                                                                                                                                                                                    | termid | opid |  creymd  |  upymd   | uphms  | hospnum 
 0044    | 1030     | 00000000 | 99999999 | 診療行為未入力患者一覧表                                                                                                                                        ORCBG020                開始診療年月        YM        終了診療年月        YM        並び順              N1                                                                                                                                                                                                                          221        |        |      |          | 20120912 | 160755 |       1
 0044    | 1031     | 00000000 | 99999999 | 入院診療行為照会情報作成                                                                                                                                        ORCBNSRYSRH             開始診療年月        YM                                                                                                                                                                                                                                                                                      2          |        |      | 20080905 | 20080905 | 150042 |       1
 0044    | 1032     | 00000000 | 99999999 | 未コード化病名一覧                                                                                                                                              ORCBG021                診療年月            KKNYM     印刷区分            N1        処理区分            N1        チェック区分        N1                                                                                                                                                                                            1111       |        |      |          | 20140715 | 135239 |       1
 0044    | 1033     | 00000000 | 99999999 | 本院分院マスター複写                                                                                                                                            ORCBMSTCOPY             処理区分            A1        複写元医療機関      N02                                                                                                                                                                                                                                                       11         |        |      |          | 20120912 | 160755 |       1
 0044    | 1034     | 00000000 | 99999999 | 受付情報削除                                                                                                                                                    ORCBDR01                削除日              YMD                                                                                                                                                                                                                                                                                     1          |        |      | 20100216 | 20100216 | 141828 |       1
 0044    | 1035     | 00000000 | 99999999 | 予約情報削除                                                                                                                                                    ORCBDR02                削除日              YMD                                                                                                                                                                                                                                                                                     1          |        |      | 20100216 | 20100216 | 141828 |       1
 0044    | 1036     | 00000000 | 99999999 | 出産育児一時金請求書                                                                                                                                            ORCBGCHILDBIRTH         請求年月            YM        提出日区分          A1        提出先              N1        集計票／送付書      N1        医療機関情報        YM                                                                                                                                                              11112      |        |      |          | 20141126 | 163807 |       1
 0044    | 1037     | 00000000 | 99999999 | 出産育児一時金チェックリスト                                                                                                                                    ORCBGCHILDLST           請求年月            YM        処理区分            N1                                                                                                                                                                                                                                                        22         |        |      |          | 20120912 | 160755 |       1
 0044    | 1038     | 00000000 | 99999999 | 診療科別医薬品使用量統計（期間指定）                                                                                                                            ORCBG001V01             開始年月日          YMD       終了年月日          YMD       薬剤区分            N1        院外区分            N1        入外区分            N1        処理区分            N1        診療区分            N02                                                                                                 1122222    |        |      |          | 20140715 | 135423 |       1
 0044    | 1039     | 00000000 | 99999999 | 診療科別医薬品使用量統計（合計金額）（期間指定）                                                                                                                ORCBG006V01             開始年月日          YMD       終了年月日          YMD       薬剤区分            N1        院外区分            N1        入外区分            N1        処理区分            N1        診療区分            N02                                                                                                 1122222    |        |      |          | 20140715 | 135423 |       1
 0044    | 1040     | 00000000 | 99999999 | 診療行為別集計表（期間指定）                                                                                                                                    ORCBG017V01             開始年月日          YMD       終了年月日          YMD       入外区分            N2        診療科              N02       診療区分１          A2        診療区分２          A2        診療区分３          A2        診療区分４          A2        診療区分５          A2        診療区分６          A2        1122122222 |        |      |          | 20140715 | 135423 |       1
 0044    | 1041     | 00000000 | 99999999 | 平成２２年４月改正入力セット内撮影コード移行                                                                                                                    ORCBSETCHG              処理区分            N1        開始日              YMD                                                                                                                                                                                                                                                       12         |        |      |          | 20120912 | 160755 |       1
 0044    | 1042     | 00000000 | 99999999 | 改正対応（特定器材単位コードセット）                                                                                                                            ORCBSETTANI             処理区分            N1        改正年月日          YMD                                                                                                                                                                                                                                                       12         |        |      |          | 20120912 | 160755 |       1
 0044    | 1043     | 00000000 | 99999999 | 保険別請求チェック表（標準帳票）                                                                                                                                ORCBGS100               出力帳票            N1        対象年月            YM        入外区分            N1        編集区分            N1        他保険集計元        N1                                                                                                                                                              11211      |        |      |          | 20140715 | 135203 |       1
 0044    | 1044     | 00000000 | 99999999 | 保険別請求チェック明細表                                                                                                                                        ORCBGS120               出力帳票            PSN1      対象年月            YM        入外区分            N1        編集区分            N1        保険区分            N3        保険者番号          N8                                                                                                                                112122     |        |      | 20140715 | 20140715 | 135203 |       1
 0044    | 1045     | 00000000 | 99999999 | 労災コード変更分一覧表                                                                                                                                          ORCBRSICHG              処理区分            N1                                                                                                                                                                                                                                                                                      2          |        |      | 20140715 | 20140715 | 135327 |       1
 0044    | 1046     | 00000000 | 99999999 | 改正対応（点数付加引継ぎ作成）                                                                                                                                  ORCBTPRCVR              改正年月日          YMD                                                                                                                                                                                                                                                                                     2          |        |      | 20140715 | 20140715 | 140436 |       1
 0044    | 1047     | 00000000 | 99999999 | 向精神薬投与患者一覧                                                                                                                                            ORCBG022                診療年月            YM        ＣＳＶ出力          N1        処理区分            N1                                                                                                                                                                                                                          122        |        |      |          | 20180613 | 115833 |       1
 0044    | 1048     | 00000000 | 99999999 | 中途終了データ一括削除処理                                                                                                                                      ORCBGD01                開始診療日付        YMD       終了診療日付        YMD       入外区分            PS1                                                                                                                                                                                                                         221        |        |      | 20160701 | 20160701 | 115312 |       1
 0044    | 1049     | 00000000 | 99999999 | 医療区分・ＡＤＬ区分に係わる評価票一括発行                                                                                                                      ORCBG024                診療年月            YM        患者番号            PTNUM     病棟番号            N02       並び順              N1        除外指示            N1                                                                                                                                                              12222      |        |      |          | 20160701 | 115337 |       1
 0044    | 1050     | 00000000 | 99999999 | 傷病名マスタ一覧                                                                                                                                                ORCBG025                処理区分            PSN1      出力順              PSN1                                                                                                                                                                                                                                                      11         |        |      | 20160701 | 20160701 | 115335 |       1
 0044    | 1051     | 00000000 | 99999999 | 後発医薬品数量シェア（置換え率）                                                                                                                                ORCBG026                診療年月            YM        明細区分            N1        ＣＳＶ区分          N1        対象区分            N1        入外区分            N1                                                                                                                                                              12211      |        |      |          | 20160701 | 115346 |       1
 0044    | 1052     | 00000000 | 99999999 | 一般名処方加算誤算定疑い患者一覧                                                                                                                                ORCBGGEREP              診療年月            YM        処理区分            N1                                                                                                                                                                                                                                                        12         |        |      | 20160701 | 20160701 | 115442 |       1
 0044    | 1053     | 00000000 | 99999999 | 向精神薬多剤投与時の内服逓減疑い患者一覧                                                                                                                        ORCBGPSYREP             診療年月            YM        処理区分            N1                                                                                                                                                                                                                                                        12         |        |      | 20160701 | 20160701 | 115443 |       1
 0044    | 1054     | 00000000 | 99999999 | 診療区分別指定点数該当患者数調べ                                                                                                                                ORCBG029                開始年月            YM        終了年月            YM        入外区分            N1        下限点数            N10       上限点数            N10       印刷区分            N1        診療区分１          N2        診療区分２          N2        診療区分３          N2                                      122222122  |        |      | 20180613 | 20180613 | 115945 |       1
 0044    | 1055     | 00000000 | 99999999 | システム管理設定内容リスト                                                                                                                                      ORCBGSKLST              管理番号１          A4        管理番号２          A4        管理番号３          A4        管理番号４          A4        管理番号５          A4        管理番号６          A4        管理番号７          A4        管理番号８          A4        管理番号９          A4        管理番号１０        A4        1222222222 |        |      | 20180613 | 20180613 | 120009 |       1
 0044    | 1056     | 00000000 | 99999999 | 一括再計算該当者チェック表                                                                                                                                      ORCBG030                診療年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20180613 | 20180613 | 120010 |       1
 0044    | 1057     | 00000000 | 99999999 | 訪問診療等の状況                                                                                                                                                ORCBG028                診療年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20180613 | 20180613 | 120122 |       1
 0044    | 1058     | 00000000 | 99999999 | セット登録一覧                                                                                                                                                  ORCBGSETLST             開始コード          A6        終了コード          A6        経過措置日          YMD       ＣＳＶ出力          N01                                                                                                                                                                                           2222       |        |      | 20180613 | 20180613 | 120208 |       1
 0044    | 1059     | 00000000 | 99999999 | 長期投薬患者一覧                                                                                                                                                ORCBG031                診療年月            YM        入外区分            N01       会計カード          N01                                                                                                                                                                                                                         122        |        |      | 20180613 | 20180613 | 120208 |       1
 0044    | 1060     | 00000000 | 99999999 | ニコチン依存症管理料に係る報告書                                                                                                                                ORCBG027                対象年度            N4                                                                                                                                                                                                                                                                                      1          |        |      | 20180613 | 20180613 | 120255 |       1
 0044    | 1061     | 00000000 | 99999999 | 包括検査誤算定疑い患者一覧【平成２９年６月２８日緊急修正】                                                                                                      ORCBGKNSCHK                                                                                                                                                                                                                                                                                                                                    |        |      | 20180613 | 20180613 | 120255 |       1
 0044    | 1062     | 00000000 | 99999999 | 未コード化傷病名使用割合一覧表                                                                                                                                  ORCBG032                開始診療年月        YM        終了診療年月        YM                                                                                                                                                                                                                                                        12         |        |      | 20180613 | 20180613 | 120649 |       1
 0044    | 1063     | 00000000 | 99999999 | 入院会計一括置換                                                                                                                                                ORCBNYUINCHG            対象処理年月        YM        対象病棟番号        N02                                                                                                                                                                                                                                                       12         |        |      | 20200701 | 20200701 | 110944 |       1
 0044    | 1064     | 00000000 | 99999999 | 向精神薬長期処方対象医薬品投与患者一覧                                                                                                                          ORCBG033                対象年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20200701 | 20200701 | 111027 |       1
 0044    | 1065     | 00000000 | 99999999 | 患者番号桁数変更                                                                                                                                                ORCBPTNUMCHG            追加桁数            KBN                                                                                                                                                                                                                                                                                     1          |        |      | 20200701 | 20200701 | 111030 |       1
 0044    | 1066     | 00000000 | 99999999 | ユーザーマスタチェックリスト作成                                                                                                                                ORCBUMCP                マスタ区分          N1        ＣＳＶ出力          N1        マスタ基準日        YMD                                                                                                                                                                                                                         122        |        |      |          | 20200701 | 111428 |       1
 0044    | 1067     | 00000000 | 99999999 | 入院会計点数置換（消費税対応）                                                                                                                                  ORCBNYUINUPD                                                                                                                                                                                                                                                                                                                                   |        |      | 20200701 | 20200701 | 111428 |       1
 0044    | 1068     | 00000000 | 99999999 | 令和１年９月薬価誤り算定患者一覧                                                                                                                                ORCBGNOMI01             診療年月            YM        診療年月日          YMD       処理区分            N1        ＣＳＶ区分          N1                                                                                                                                                                                            2222       |        |      |          | 20200701 | 111434 |       1
 0044    | 2001     | 00000000 | 99999999 | 保険別診療点数月計表                                                                                                                                            A00000M500              集計年月            YM        入外区分            FREE      診療科コード        FREE                                                                                                                                                                                                                        122        |        |      | 20050222 | 20050225 | 163839 |       1
 0044    | 2002     | 00000000 | 99999999 | 月計表合計（窓口領収金）                                                                                                                                        A00000M501              集計年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20050222 | 20050225 | 163941 |       1
 0044    | 2003     | 00000000 | 99999999 | 月計表（診療費請求明細）                                                                                                                                        A00000M700              集計年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20050222 | 20050225 | 164034 |       1
 0044    | 2004     | 00000000 | 99999999 | 患者一覧表                                                                                                                                                      A00000L100              出力帳票            FREE      開始日              YMD       終了日              YMD       診療科コード        FREE      医師コード          FREE      病名、診療行為      FREE      印刷順序            FREE                                                                                                2222222    |        |      | 20050222 | 20050222 | 092835 |       1
 0044    | 2005     | 00000000 | 99999999 | 患者数一覧表                                                                                                                                                    A00000C100              出力帳票            FREE      集計区分            FREE      開始日              YMD       終了日              YMD       入外区分            FREE                                                                                                                                                            22111      |        |      | 20050222 | 20050908 | 142001 |       1
 0044    | 2006     | 00000000 | 99999999 | 基本台帳                                                                                                                                                        A00000D100              出力帳票            FREE      開始日              YMD       終了日              YMD       入外区分            FREE      診療科コード        FREE      医師コード          FREE      ０件印字            FREE                                                                                                2111222    |        |      |          | 20100216 | 145957 |       1
 0044    | 2007     | 00000000 | 99999999 | 診療行為別使用頻度一覧                                                                                                                                          A00000A010              診療分類指定        FREE      診療年月日          YMD       入外区分            FREE      印字順序            FREE      集計区分            FREE      開始年月日          YMD       終了年月日          YMD                                                                                                 2122222    |        |      |          | 20110523 | 113950 |       1
 0044    | 2008     | 00000000 | 99999999 | 保険別患者台帳                                                                                                                                                  A00000L200              対象年月            YM        入外区分            FREE      保険者番号          FREE      公費負担者番号      FREE      本人・家族          FREE      診療科コード        FREE      印字順序            FREE                                                                                                1222222    |        |      | 20050222 | 20050222 | 093408 |       1
 0044    | 2009     | 00000000 | 99999999 | 保険別請求チェック表                                                                                                                                            A00000S100              出力帳票            FREE      対象年月            YM        入外区分            FREE                                                                                                                                                                                                                        212        |        |      | 20050222 | 20050908 | 142100 |       1
 0044    | 2010     | 00000000 | 99999999 | 診療行為区分別集計表                                                                                                                                            A00000K100              出力帳票            FREE      対象年月            YM        入外区分            FREE      保険適用外          FREE      包括区分            FREE      表示区分            FREE                                                                                                                              211222     |        |      |          | 20180613 | 120407 |       1
 0044    | 2011     | 00000000 | 99999999 | 未収金・預り金個人別月計表                                                                                                                                      A00000L300              診療年月            YM        診療科コード        FREE      入外区分            FREE                                                                                                                                                                                                                        122        |        |      |          | 20110523 | 114157 |       1
 0044    | 2012     | 00000000 | 99999999 | 償還払公費患者一覧                                                                                                                                              A00000KOHS              請求年月            YM                                                                                                                                                                                                                                                                                      1          |        |      |          | 20180613 | 120305 |       1
 0044    | 2013     | 00000000 | 99999999 | 保留・再請求・月遅れ一覧表                                                                                                                                      A21011A05               出力区分            FREE      請求年月            YM                                                                                                                                                                                                                                                        11         |        |      |          | 20180613 | 120305 |       1
 0044    | 2014     | 00000000 | 99999999 | 診療行為別月計表                                                                                                                                                A01014M01               対象年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20050222 | 20050225 | 165237 |       1
 0044    | 2015     | 00000000 | 99999999 | 医薬品名・一般名対応リスト                                                                                                                                      A00000YL01              項目１              FREE      項目２              FREE      項目３              FREE      項目４              FREE      項目５              FREE      薬剤区分            PSN1      入力コード          PSN1      一般名区分          PSN1      改頁区分            PSN1                                    222221111  |        |      | 20120912 | 20120912 | 160709 |       1
 0044    | 2016     | 00000000 | 99999999 | 総括表患者別                                                                                                                                                    A00000TA01              開始年月            YM        終了年月            YM        入外区分            FREE      保険種別            FREE      保険者番号          FREE      公費番号            FREE      県内外区分          FREE      返戻区分            FREE                                                                  11122222   |        |      | 20140715 | 20140715 | 135333 |       1
 0044    | 2017     | 00000000 | 99999999 | 診療行為別集計表                                                                                                                                                A00000TA02              開始年月日          YMD       終了年月日          YMD       入外区分            FREE      発行区分            FREE      診療区分            FREE      包括区分            FREE                                                                                                                              112222     |        |      | 20140715 | 20140715 | 135333 |       1
 0044    | 2018     | 00000000 | 99999999 | 未収金一覧表                                                                                                                                                    A00000TA03              開始年月日          YMD       終了年月日          YMD       入外区分            FREE      入金区分            N1                                                                                                                                                                                            1112       |        |      | 20140715 | 20140715 | 135333 |       1
 0044    | 2019     | 00000000 | 99999999 | 来院・在院状況分析表                                                                                                                                            A00000TA04              対象年月            YM        入外区分            FREE      発行区分            FREE                                                                                                                                                                                                                        112        |        |      | 20140715 | 20140715 | 135333 |       1
 0044    | 2020     | 00000000 | 99999999 | 指定病名・診療行為患者一覧                                                                                                                                      A00000TA05              開始年月日          YMD       終了年月日          YMD       入外区分            FREE      転帰区分            FREE      コード１            FREE      コード２            FREE      コード３            FREE      コード４            FREE      コード５            FREE      コード６            FREE      1222222222 |        |      | 20140715 | 20140715 | 135333 |       1
 0044    | 2021     | 00000000 | 99999999 | 請求収納チェック表                                                                                                                                              A00000TA06              年月区分            N1        対象年月            YM        入外区分            FREE      保険区分            FREE                                                                                                                                                                                          1112       |        |      |          | 20140715 | 135334 |       1
 0044    | 2022     | 00000000 | 99999999 | 労災自賠責公務災害集計表                                                                                                                                        A00000TA07              集計区分            N1        診療年月            YM        保険区分            FREE      入外区分            FREE                                                                                                                                                                                          1122       |        |      | 20140715 | 20140715 | 135333 |       1
(89 rows)

