          event_time           |          action           |                       resource                        |             actor_id             |              request_id              |               trace_id               |                                                                                                                                                                                                                                  payload                                                                                                                                                                                                                                  
 2025-12-26 15:19:27.499087+09 | ORCA_MEDICATION_MOD       | /openDolphin/resources/orca/tensu/sync                | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-tensu_sync          | 9c289209-25f1-49a9-82a3-20004233dc32 | {"traceId":"9c289209-25f1-49a9-82a3-20004233dc32","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-tensu_sync","status":"blocked"}
 2025-12-26 15:19:27.481639+09 | ORCA_MEDICAL_SET_MUTATION | /openDolphin/resources/orca/medical-sets              | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-medical_sets        | b7a6d4d3-aa60-4034-a3f6-597567af6e11 | {"traceId":"b7a6d4d3-aa60-4034-a3f6-597567af6e11","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-medical_sets","status":"blocked"}
 2025-12-26 15:19:27.460698+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca/medical/records           | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-medical_records     | 90224a06-132b-430a-8618-c7a1a0c647b8 | {"traceId":"90224a06-132b-430a-8618-c7a1a0c647b8","recordsReturned":0,"facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","requestId":"20251226T061010Z-medical_records"}
 2025-12-26 15:19:27.330432+09 | ORCA_SUBJECTIVES_MUTATION | /openDolphin/resources/orca/chart/subjectives         | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-subjectives         | f000fcbc-42ef-4787-948c-3b0098bf22ac | {"traceId":"f000fcbc-42ef-4787-948c-3b0098bf22ac","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","requestId":"20251226T061010Z-subjectives","status":"blocked"}
 2025-12-26 08:29:36.698637+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.72.103:doctor1  | 199b063b-a874-4b88-bff5-17ad7c5a6372 | 199b063b-a874-4b88-bff5-17ad7c5a6372 | {"traceId":"199b063b-a874-4b88-bff5-17ad7c5a6372","facilityId":"1.3.6.1.4.1.9414.72.103","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T23:29:36.698342635Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"199b063b-a874-4b88-bff5-17ad7c5a6372","cacheHit":false,"runId":"20251225T231456Z","dataSource":"server","outcome":"MISSING"}
 2025-12-26 08:27:03.846604+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.72.103:doctor1  | 90a5e3b6-e135-4f34-b3a7-afaa248590d8 | 90a5e3b6-e135-4f34-b3a7-afaa248590d8 | {"traceId":"90a5e3b6-e135-4f34-b3a7-afaa248590d8","facilityId":"1.3.6.1.4.1.9414.72.103","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T23:27:03.846432800Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"90a5e3b6-e135-4f34-b3a7-afaa248590d8","cacheHit":false,"runId":"20251225T231459Z","dataSource":"server","outcome":"MISSING"}
 2025-12-26 08:23:55.538199+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.72.103:doctor1  | 64163f67-7506-4723-a0fd-89281dc763f1 | 64163f67-7506-4723-a0fd-89281dc763f1 | {"traceId":"64163f67-7506-4723-a0fd-89281dc763f1","facilityId":"1.3.6.1.4.1.9414.72.103","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T23:23:55.538043172Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"64163f67-7506-4723-a0fd-89281dc763f1","cacheHit":false,"runId":"20251225T231459Z","dataSource":"server","outcome":"MISSING"}
 2025-12-26 08:23:39.646681+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.10.1:dolphindev | 1d4823b2-01ee-43df-89ac-ca3574fa6ed5 | 1d4823b2-01ee-43df-89ac-ca3574fa6ed5 | {"traceId":"1d4823b2-01ee-43df-89ac-ca3574fa6ed5","facilityId":"1.3.6.1.4.1.9414.10.1","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T23:23:39.646518345Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"1d4823b2-01ee-43df-89ac-ca3574fa6ed5","cacheHit":false,"runId":"20251225T232339Z","dataSource":"server","outcome":"MISSING"}
 2025-12-26 06:34:59.312102+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.72.103:doctor1  | c6dfb932-5e6a-40d5-b94f-2abd68f5df0e | c6dfb932-5e6a-40d5-b94f-2abd68f5df0e | {"traceId":"c6dfb932-5e6a-40d5-b94f-2abd68f5df0e","facilityId":"1.3.6.1.4.1.9414.72.103","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T21:34:59.311926465Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"c6dfb932-5e6a-40d5-b94f-2abd68f5df0e","cacheHit":false,"runId":"20251225T210628Z","dataSource":"server","outcome":"MISSING"}
 2025-12-26 06:34:59.296862+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca21/medicalmodv2/outpatient | 1.3.6.1.4.1.9414.72.103:doctor1  | c6dfb932-5e6a-40d5-b94f-2abd68f5df0e | c6dfb932-5e6a-40d5-b94f-2abd68f5df0e | {"traceId":"c6dfb932-5e6a-40d5-b94f-2abd68f5df0e","facilityId":"1.3.6.1.4.1.9414.72.103","resource":"/orca21/medicalmodv2/outpatient","dataSourceTransition":"server","fallbackUsed":false,"fetchedAt":"2025-12-25T21:34:59.296185507Z","recordsReturned":0,"telemetryFunnelStage":"charts_orchestration","missingMaster":false,"requestId":"c6dfb932-5e6a-40d5-b94f-2abd68f5df0e","cacheHit":false,"runId":"20251225T210628Z","dataSource":"server","outcome":"MISSING"}
(19 rows)

